application_id,amount,bankruptcy_asset_amount,bankruptcy_liabilities_amount,created,ecoa,filing_date,id,status_date,status
115732a2527c01cb9f42975ea31a5691,3647,,,2015-07-29 00:00:00.000000,1,2013-08-15,459456_v4,2013-10-24,9
4f066b1e6cd9edc7705670b573398484,170,,,2015-04-29 00:00:00.000000,1,2012-06-15,375545_v4,2013-09-09,9
5e141300efe8bdd37b9f2e53e3226bdd,0,0,0,2016-01-30 00:00:00.000000,2,2015-09-14,509155_v4,2016-11-03,15
383053d7880991c8618fd9e47a860fa6,411,,,2015-04-29 00:00:00.000000,1,2012-07-24,210816_v4,2012-07-24,8
9c65ded64b03608fca771f8d96974b60,0,0,0,2016-01-30 00:00:00.000000,2,2013-09-20,531571_v4,2013-12-24,15
30b6039143731bc6a54018493095d7fa,471,,,2016-04-30 00:00:00.000000,1,2010-11-03,339519_v4,2011-03-30,9
7cb3e61ca4578d542c2016e692732b0a,655,,,2015-01-31 00:00:00.000000,1,2011-09-13,529002_v4,2011-09-13,8
cf740cbd7a171c9f93c5b837ac9d5d64,293,,,2016-04-30 00:00:00.000000,2,2015-08-07,103460_v4,2015-11-10,9
09b818324e65c8ccb21de5048bfbe82e,5535,,,2015-04-29 00:00:00.000000,2,2009-06-16,102623_v4,2010-12-14,31
07eab5596b58540ade87949ada917103,341,,,2016-04-30 00:00:00.000000,2,2007-12-03,450886_v4,2007-12-03,32
67675a0e010b3f85740b0be7f1b4af46,0,0,0,2015-04-29 00:00:00.000000,1,2005-10-14,579918_v4,2006-02-22,15
f73c9f057910415bbe25575075157fc0,2627,,,2016-04-30 00:00:00.000000,2,2011-07-21,241410_v4,2015-03-23,33
30d3837a47887a508444530ad8d31ac0,2077,,,2015-07-29 00:00:00.000000,2,2011-08-25,157744_v4,2011-10-06,33
96002e3b293518c3c8adb196d9b6026c,0,0,0,2016-04-30 00:00:00.000000,2,2010-03-23,389997_v4,2013-08-22,17
a77736b7ff75b274a6cce7d631a66a84,0,0,0,2015-07-29 00:00:00.000000,2,2009-03-12,379109_v4,2009-07-30,15
ea55291dc787e6f1710c49e6a8076086,2760,,,2016-01-30 00:00:00.000000,1,2012-04-26,641752_v4,2013-08-08,9
8178a49b4765cedf9088951e2a7dad41,568,,,2015-04-29 00:00:00.000000,1,2013-12-02,105571_v4,2014-03-06,9
7359561c7f089ff07e4ae7f5cd2b121e,0,0,0,2015-01-31 00:00:00.000000,1,2010-04-08,427440_v4,2010-07-19,15
033fb2ecd9ed94bc3e0bf5a925875139,515,,,2014-04-30 00:00:00.000000,1,2012-11-16,154369_v4,2013-03-22,9
547e79b34d771ac39657b8eefe6be4a9,1876,,,2015-01-31 00:00:00.000000,1,2009-09-15,627686_v4,2009-09-15,8
3912eb3e799bae5421e7bccfeea8678d,0,0,0,2015-04-29 00:00:00.000000,2,2006-08-29,496917_v4,2006-11-28,15
aff9616fab42d515d826932a5584e777,5738,,,2015-01-31 00:00:00.000000,2,2009-02-19,531885_v4,2012-02-01,9
406bd8afe095ac70d4c298dfb6fe1a33,0,0,0,2014-04-30 00:00:00.000000,2,2010-11-12,298664_v4,2011-03-10,15
c0043d26e4c9c7336471e5092c90c07e,208,,,2016-04-30 00:00:00.000000,2,2012-12-03,162545_v4,2013-04-05,9
6aea1167b72fc0e82d258deabb0c96e2,0,0,0,2015-04-29 00:00:00.000000,1,2006-02-28,92732_v4,2006-06-06,15
ac7f0874683e10c36b21ba05441d7ff7,393,,,2016-04-30 00:00:00.000000,1,2009-11-19,221853_v4,2009-11-19,8
192cfce90c8d1596215860ee5f018cd4,0,0,0,2016-01-30 00:00:00.000000,1,2007-04-16,239182_v4,2007-08-21,15
